ApplicationID,CandidateID,JobID,ApplicationDate,Status,Deadline
B04DM,C332K,YQ3G4,2025-01-19,Submitted,2025-01-12
NXO1O,OPIZP,SCBTY,2025-01-07,In Review,2025-02-01
Y7WZE,P62KM,XZ5QV,2025-01-13,Rejected,2025-05-04
I6IZ9,E5Q6O,HU6I8,2025-01-18,Submitted,2025-07-05
X8IVI,98A2R,FIT85,2025-01-22,In Review,2025-01-11
OHLNP,CG68C,U54H1,2025-01-10,Accepted,2025-01-17
I2BEN,3SEVR,U0Y61,2025-01-25,Submitted,2025-01-18
XKJL0,CK25R,NQN6N,2025-01-14,Rejected,2025-01-19
D87DT,0Q1UE,FH1OR,2025-01-23,In Review,2025-01-20
Q7N0I,WR0L3,A7MIP,2025-01-24,Submitted,2025-01-21
Q2E60,BE2ZQ,851N7,2025-01-15,Accepted,2025-01-22
57HSQ,56PBT,Y0TSU,2025-02-02,In Review,2025-01-23
UQ4GB,XHZ75,JW8AV,2025-01-30,Rejected,2025-01-24
8IM6X,YQ3D6,SV54Q,2025-02-05,Submitted,2025-01-25
G0APB,JY22M,56SAH,2025-01-18,In Review,2025-01-26
K8TM5,QMIN0,S8JIV,2025-01-20,Accepted,2025-01-27
FE20P,EL0VC,IXAES,2025-02-09,Submitted,2025-01-28
CYJ57,EEPHK,9P926,2025-01-31,Rejected,2025-01-29
6SZNN,3ZSW4,VC4WV,2025-02-07,In Review,2025-01-30
4WUPJ,ETH7G,2V3FT,2025-02-12,Submitted,2025-01-31
Y06RP,ZR5V0,GGPAK,2025-01-25,Accepted,2025-04-01
XU7QE,JWX6B,LLFKV,2025-02-15,In Review,2025-02-02
4UIV4,1W4OT,G68Z9,2025-02-05,Rejected,2025-12-03
UOWFS,LINWA,RGV8U,2025-01-27,Submitted,2025-02-04
HCGYL,12S76,KAFMI,2025-02-07,In Review,2025-03-05
Z98XI,BIL2P,OJC64,2025-02-03,Accepted,2025-12-06
V0U8D,ITJHA,5OSWG,2025-02-11,Submitted,2025-08-07
LZUXT,P36GT,YHZCY,2025-02-06,Rejected,2025-10-08
31IO1,WPAHV,IFE3S,2025-02-08,In Review,2025-02-09
IJQWM,QO9RH,VO40H,2025-02-09,Submitted,2025-02-10
V7WB1,DBLP4,8PPB5,2025-02-06,Accepted,2025-03-11
FE73X,3CNNU,TOB8V,2025-02-14,In Review,2025-09-12
IC42A,SWXJE,1BF4L,2025-02-07,Rejected,2025-11-13
7C9E1,W0GW4,9U0MB,2025-02-25,Submitted,2025-12-14
Y3ULX,6ISV4,VMIA2,2025-02-24,In Review,2025-05-15
DRK3J,Z9YP3,NND89,2025-02-11,Accepted,2025-08-16
6HBM6,WSXSD,GKEGX,2025-02-24,Submitted,2025-07-17
XDJGG,N3TUK,MZ5OF,2025-02-11,Rejected,2025-09-18
PB13F,Y12EA,9XJNZ,2025-02-24,In Review,2025-12-19
PJQGC,KY42T,AZNVL,2025-02-27,Submitted,2025-06-20
Q15NW,4H0TL,ZFZP4,2025-02-17,Accepted,2025-01-21
BRJEM,082MF,PZ75Z,2025-03-04,In Review,2025-03-22
46JA1,XYXCE,VNKRT,2025-02-23,Rejected,2025-02-23
A87G1,E88FY,M3SVB,2025-02-20,Submitted,2025-08-24
2IIH5,EXXS5,Z06Y6,2025-03-02,In Review,2025-06-25
CI04A,QFYSL,EL48J,2025-02-19,Accepted,2025-04-26
1ER3Q,TJD5Q,GEB3C,2025-03-11,Submitted,2025-02-27
AQN9F,TLDRL,KQ3I8,2025-02-22,Rejected,2025-12-28
AIQAO,RHGXW,GC2TL,2025-02-28,In Review,2025-10-01
AQ4NT,T52YS,9U2EG,2025-03-09,Submitted,2025-08-02
