CandidateID,SkillID
C332K,14
OPIZP,40
P62KM,31
E5Q6O,46
98A2R,18
CG68C,49
3SEVR,27
CK25R,26
0Q1UE,33
WR0L3,20
BE2ZQ,13
56PBT,5
XHZ75,38
YQ3D6,9
JY22M,4
QMIN0,7
EL0VC,42
EEPHK,47
3ZSW4,48
ETH7G,16
ZR5V0,10
JWX6B,17
1W4OT,25
LINWA,35
12S76,32
BIL2P,1
ITJHA,45
P36GT,28
WPAHV,34
QO9RH,6
DBLP4,30
3CNNU,12
SWXJE,37
W0GW4,2
6ISV4,22
Z9YP3,3
WSXSD,44
N3TUK,36
Y12EA,24
KY42T,41
4H0TL,11
082MF,23
XYXCE,19
E88FY,50
EXXS5,21
QFYSL,8
TJD5Q,43
TLDRL,15
RHGXW,29
T52YS,39
C332K,23
CK25R,9
56PBT,4
WR0L3,7
0Q1UE,42
BE2ZQ,47
YQ3D6,48
E88FY,16
98A2R,10
WR0L3,17
QMIN0,25
1W4OT,35
DBLP4,32
Z9YP3,1
EXXS5,45
RHGXW,28
P62KM,34
BE2ZQ,6
XHZ75,30
3ZSW4,12
12S76,37
SWXJE,2
N3TUK,22
RHGXW,3
OPIZP,44
0Q1UE,46
YQ3D6,18
EEPHK,49
ZR5V0,27
1W4OT,26
BIL2P,33
WPAHV,20
6ISV4,13
WR0L3,5
98A2R,38
CG68C,46
3SEVR,37
CK25R,49
0Q1UE,14
WR0L3,13
BE2ZQ,7
56PBT,18
ITJHA,17
P36GT,31
WPAHV,12
QO9RH,3
SWXJE,44
W0GW4,42
N3TUK,41
Y12EA,32
6ISV4,28
Z9YP3,10
WSXSD,27
KY42T,8
DBLP4,25
3CNNU,45
EXXS5,9
QFYSL,6
XYXCE,39
E88FY,11
TJD5Q,36
TLDRL,40
RHGXW,15
T52YS,35
3SEVR,31
56PBT,14
3CNNU,26
3ZSW4,22
RHGXW,30
JWX6B,34
ZR5V0,42
WR0L3,29
QMIN0,19
BE2ZQ,9
Y12EA,13
TLDRL,21
3SEVR,2
XYXCE,18
YQ3D6,12
QMIN0,43
KY42T,18
JWX6B,8
0Q1UE,35
QO9RH,43
082MF,47
QFYSL,30
C332K,39
ETH7G,32
P36GT,5
WSXSD,39
P62KM,30
CK25R,44
YQ3D6,7
TLDRL,33
P62KM,43
0Q1UE,22
56PBT,48
E88FY,34
1W4OT,45
082MF,38
LINWA,8
1W4OT,7
W0GW4,26
12S76,29
3CNNU,10
Y12EA,31
CK25R,10
4H0TL,16
0Q1UE,24
EXXS5,4
BIL2P,14
QFYSL,9
RHGXW,32
E5Q6O,49
T52YS,38
P36GT,1
WSXSD,42
EEPHK,9
EL0VC,2
TJD5Q,4
BIL2P,43
DBLP4,48
98A2R,2
QFYSL,49
OPIZP,23
N3TUK,39
TLDRL,14
N3TUK,10
3ZSW4,41
082MF,24
RHGXW,9
EEPHK,33
DBLP4,36
56PBT,32
P62KM,4
E5Q6O,41
12S76,22
QFYSL,1
WPAHV,18
3SEVR,45
SWXJE,16
ZR5V0,15
ZR5V0,13
ITJHA,35
082MF,15
12S76,12
KY42T,26
ITJHA,37
3SEVR,50
TJD5Q,9
XYXCE,42
T52YS,28
98A2R,12
DBLP4,34
QMIN0,10
WSXSD,40
