DepartmentID,CompanyID,DepartmentName
101,1111,Software Engineering
102,1112,Data Science & Analytics
103,1113,Human Resources & Admin
104,1114,Digital Marketing
105,1115,Financial Planning
106,1116,Business Development
107,1117,Customer Relations
108,1118,IT Support & Infrastructure
109,1119,Operations Management
110,1120,UX/UI Design
111,1121,Engineering Services
112,1122,Project Management Office
113,1123,R&D & Innovation
114,1124,Legal & Compliance
115,1125,Product Strategy
116,1126,Business Intelligence
117,1127,Quality Control & Assurance
118,1128,Accounting & Finance
119,1129,Supply Chain Management
120,1130,Healthcare & Services
121,1131,Retail & Merchandising
122,1132,Real Estate Development
123,1133,Manufacturing Operations
124,1134,Hospitality Services
125,1135,Educational Programs
126,1136,Engineering & Design
127,1137,Logistics & Distribution
128,1138,Pharmaceutical Research
129,1139,Media & Communications
130,1140,Telecommunications & IT
131,1141,Aerospace Engineering
132,1142,Architecture & Planning
133,1143,Construction Services
134,1144,Agricultural Science
135,1145,Risk & Insurance
136,1146,Retail Banking Services
137,1147,Event Planning
138,1148,IT & Technology Consulting
139,1149,Energy & Utilities
140,1150,Non-Profit Organization
141,1151,Entertainment Industry
142,1152,Security & Risk Management
143,1153,Arts & Cultural Affairs
144,1154,E-commerce & Digital Sales
145,1155,Travel & Tourism Services
146,1156,Public Sector & Government
147,1157,Financial Technology
148,1158,Language Services & Translation
149,1159,Marketing Research & Strategy
150,1160,Sports & Recreation Management
