InterviewID,ApplicationID,InterviewDate,InterviewTime,InterviewMode,InterviewScore
2010111,B04DM,2025-02-01,10:00 AM,Online,85
2010112,NXO1O,2025-02-02,11:30 AM,Offline,78
2010113,Y7WZE,2025-02-03,2:00 PM,Online,92
2010114,I6IZ9,2025-02-04,9:00 AM,Online,80
2010115,X8IVI,2025-02-05,1:00 PM,Offline,76
2010116,OHLNP,2025-02-06,3:30 PM,Online,89
2010117,I2BEN,2025-02-07,10:45 AM,Offline,82
2010118,XKJL0,2025-02-08,12:00 PM,Online,95
2010119,D87DT,2025-02-09,2:15 PM,Offline,74
2010120,Q7N0I,2025-02-10,11:00 AM,Online,88
2010121,Q2E60,2025-02-11,10:00 AM,Offline,79
2010122,57HSQ,2025-02-12,1:30 PM,Online,83
2010123,UQ4GB,2025-02-13,9:45 AM,Offline,77
2010124,8IM6X,2025-02-14,3:00 PM,Online,91
2010125,G0APB,2025-02-15,2:45 PM,Offline,84
2010126,K8TM5,2025-02-16,10:30 AM,Online,90
2010127,FE20P,2025-02-17,11:15 AM,Offline,87
2010128,CYJ57,2025-02-18,1:00 PM,Online,75
2010129,6SZNN,2025-02-19,2:30 PM,Offline,94
2010130,4WUPJ,2025-02-20,12:45 PM,Online,81
2010131,Y06RP,2025-02-21,9:30 AM,Offline,86
2010132,XU7QE,2025-02-22,3:15 PM,Online,79
2010133,4UIV4,2025-02-23,10:30 AM,Offline,93
2010134,UOWFS,2025-02-24,1:45 PM,Online,82
2010135,HCGYL,2025-02-25,11:15 AM,Offline,89
2010136,Z98XI,2025-02-26,12:30 PM,Online,77
2010137,V0U8D,2025-02-27,2:00 PM,Offline,91
2010138,LZUXT,2025-02-28,10:00 AM,Online,85
2010139,31IO1,2025-03-01,9:45 AM,Offline,83
2010140,IJQWM,2025-03-02,3:30 PM,Online,78
2010141,V7WB1,2025-03-03,2:45 PM,Offline,92
2010142,FE73X,2025-03-04,1:30 PM,Online,80
2010143,IC42A,2025-03-05,10:15 AM,Offline,75
2010144,7C9E1,2025-03-06,12:45 PM,Online,90
2010145,Y3ULX,2025-03-07,3:00 PM,Offline,88
2010146,DRK3J,2025-03-08,11:45 AM,Online,84
2010147,6HBM6,2025-03-09,10:30 AM,Offline,81
2010148,XDJGG,2025-03-10,1:15 PM,Online,77
2010149,PB13F,2025-03-11,9:30 AM,Offline,95
2010150,PJQGC,2025-03-12,2:45 PM,Online,83
2010151,Q15NW,2025-03-13,11:15 AM,Offline,89
2010152,BRJEM,2025-03-14,12:00 PM,Online,76
2010153,46JA1,2025-03-15,10:45 AM,Offline,91
2010154,A87G1,2025-03-16,3:30 PM,Online,85
2010155,2IIH5,2025-03-17,2:15 PM,Offline,79
2010156,CI04A,2025-03-18,11:30 AM,Online,94
2010157,1ER3Q,2025-03-19,9:15 AM,Offline,78
2010158,AQN9F,2025-03-20,12:45 PM,Online,92
2010159,AIQAO,2025-03-21,1:30 PM,Offline,86
2010160,AQ4NT,2025-03-22,3:00 PM,Online,90
