JobCategoryID,CategoryName
10001,Software Development
10002,Data Science
10003,Human Resources
10004,Marketing
10005,Finance
10006,Sales
10007,Customer Support
10008,IT Support
10009,Operations
10010,Design
10011,Engineering
10012,Project Management
10013,Research & Development
10014,Legal
10015,Product Management
10016,Business Analysis
10017,Quality Assurance
10018,Accounting
10019,Supply Chain
10020,Healthcare
10021,Retail
10022,Real Estate
10023,Manufacturing
10024,Hospitality
10025,Education
10026,Engineering Design
10027,Logistics
10028,Pharmaceuticals
10029,Media
10030,Telecommunications
10031,Aerospace
10032,Architecture
10033,Construction
10034,Agriculture
10035,Insurance
10036,Retail Banking
10037,Event Management
10038,Technology Consulting
10039,Energy
10040,Non-Profit
10041,Entertainment
10042,Security
10043,Arts & Culture
10044,E-commerce
10045,Travel
10046,Government
10047,Finance Technology
10048,Translation & Linguistics
10049,Marketing Research
10050,Sports Management
10051,Public Relations
