JobID,SkillID
YQ3G4,14
SCBTY,40
XZ5QV,31
HU6I8,46
FIT85,18
U54H1,49
U0Y61,27
NQN6N,26
FH1OR,33
A7MIP,20
851N7,13
Y0TSU,5
JW8AV,38
SV54Q,9
56SAH,4
S8JIV,7
IXAES,42
9P926,47
VC4WV,48
2V3FT,16
GGPAK,10
LLFKV,17
G68Z9,25
RGV8U,35
KAFMI,32
OJC64,1
5OSWG,45
YHZCY,28
IFE3S,34
VO40H,6
8PPB5,30
TOB8V,12
1BF4L,37
9U0MB,2
VMIA2,22
NND89,3
GKEGX,44
MZ5OF,36
9XJNZ,24
AZNVL,41
ZFZP4,11
PZ75Z,23
VNKRT,19
M3SVB,50
Z06Y6,21
EL48J,8
GEB3C,43
KQ3I8,15
GC2TL,29
9U2EG,39
VC4WV,38
RGV8U,21
IXAES,33
G68Z9,46
851N7,37
Y0TSU,49
JW8AV,14
SV54Q,13
56SAH,7
S8JIV,18
2V3FT,17
9P926,31
KAFMI,12
GGPAK,3
LLFKV,44
HU6I8,42
SCBTY,41
U54H1,32
FIT85,28
YQ3G4,10
XZ5QV,27
U0Y61,8
8PPB5,25
VMIA2,45
1BF4L,9
TOB8V,6
9U0MB,39
KAFMI,11
OJC64,36
5OSWG,40
NND89,15
IFE3S,35
VO40H,34
GKEGX,19
MZ5OF,30
YHZCY,1
9P926,4
2V3FT,47
GGPAK,23
S8JIV,2
IXAES,16
VC4WV,50
RGV8U,48
G68Z9,5
LLFKV,26
YHZCY,22
TOB8V,43
VO40H,20
9U0MB,29
IFE3S,24
VMIA2,35
OJC64,34
KAFMI,2
5OSWG,30
1BF4L,16
GKEGX,4
8PPB5,47
NND89,1
MZ5OF,23
IFE3S,49
U54H1,47
8PPB5,14
TOB8V,50
KQ3I8,35
5OSWG,29
A7MIP,5
SCBTY,6
LLFKV,32
851N7,12
FH1OR,45
EL48J,1
MZ5OF,49
U0Y61,3
Z06Y6,4
KQ3I8,31
U54H1,6
YHZCY,19
9U0MB,27
NND89,38
TOB8V,36
2V3FT,14
VMIA2,14
YHZCY,4
JW8AV,13
FIT85,13
VNKRT,40
ZFZP4,42
M3SVB,10
Y0TSU,15
Y0TSU,34
2V3FT,21
SV54Q,21
PZ75Z,37
SV54Q,12
1BF4L,43
AZNVL,10
9U0MB,35
TOB8V,28
G68Z9,32
RGV8U,24
M3SVB,33
IFE3S,48
851N7,30
NND89,16
KQ3I8,23
GKEGX,34
KAFMI,48
PZ75Z,19
GGPAK,30
IFE3S,29
ZFZP4,20
NND89,44
NQN6N,49
8PPB5,3
HU6I8,1
Y0TSU,6
RGV8U,17
RGV8U,50
9P926,7
YQ3G4,21
G68Z9,38
OJC64,38
TOB8V,2
TOB8V,4
M3SVB,36
9U0MB,50
NND89,30
GC2TL,2
VO40H,25
9XJNZ,10
5OSWG,42
NQN6N,27
YHZCY,5
56SAH,49
Y0TSU,17
8PPB5,39
56SAH,31
MZ5OF,1
ZFZP4,5
NND89,21
9XJNZ,45
SCBTY,3
GGPAK,49
GGPAK,24
IFE3S,26
G68Z9,18
XZ5QV,29
SV54Q,27
FIT85,10
2V3FT,37
EL48J,30
RGV8U,44
2V3FT,25
U54H1,39
HU6I8,11
G68Z9,20
