SalaryID,JobID,ExperienceLevel,Salary,PayType
100001,YQ3G4,Junior,1000,Weekly
100002,SCBTY,Mid-Level,1500,Weekly
100003,XZ5QV,Senior,2000,Weekly
100004,HU6I8,Junior,4000,Monthly
100005,FIT85,Mid-Level,6000,Monthly
100006,U54H1,Senior,8000,Monthly
100007,U0Y61,Junior,1200,Weekly
100008,NQN6N,Mid-Level,1800,Weekly
100009,FH1OR,Senior,2400,Weekly
100010,A7MIP,Junior,4800,Monthly
100011,851N7,Mid-Level,7200,Monthly
100012,Y0TSU,Senior,9600,Monthly
100013,JW8AV,Junior,1100,Weekly
100014,SV54Q,Mid-Level,1650,Weekly
100015,56SAH,Senior,2200,Weekly
100016,S8JIV,Junior,4400,Monthly
100017,IXAES,Mid-Level,6600,Monthly
100018,9P926,Senior,8800,Monthly
100019,VC4WV,Junior,1300,Weekly
100020,2V3FT,Mid-Level,1950,Weekly
100021,GGPAK,Senior,2600,Weekly
100022,LLFKV,Junior,5200,Monthly
100023,G68Z9,Mid-Level,7800,Monthly
100024,RGV8U,Senior,10400,Monthly
100025,KAFMI,Junior,1400,Weekly
100026,OJC64,Mid-Level,2100,Weekly
100027,5OSWG,Senior,2800,Weekly
100028,YHZCY,Junior,5600,Monthly
100029,IFE3S,Mid-Level,8400,Monthly
100030,VO40H,Senior,11200,Monthly
100031,8PPB5,Junior,1500,Weekly
100032,TOB8V,Mid-Level,2250,Weekly
100033,1BF4L,Senior,3000,Weekly
100034,9U0MB,Junior,6000,Monthly
100035,VMIA2,Mid-Level,9000,Monthly
100036,NND89,Senior,12000,Monthly
100037,GKEGX,Junior,1600,Weekly
100038,MZ5OF,Mid-Level,2400,Weekly
100039,9XJNZ,Senior,3200,Weekly
100040,AZNVL,Junior,6400,Monthly
100041,ZFZP4,Mid-Level,9600,Monthly
100042,PZ75Z,Senior,12800,Monthly
100043,VNKRT,Junior,1700,Weekly
100044,M3SVB,Mid-Level,2550,Weekly
100045,Z06Y6,Senior,3400,Weekly
100046,EL48J,Junior,6800,Monthly
100047,GEB3C,Mid-Level,10200,Monthly
100048,KQ3I8,Senior,13600,Monthly
100049,GC2TL,Junior,1800,Weekly
100050,9U2EG,Mid-Level,2700,Weekly
